Year	Quarter	Month	DayofMonth	DayOfWeek	FlightDate	Marketing_Airline_Network	Operated_or_Branded_Code_Share_Partners	DOT_ID_Marketing_Airline	IATA_Code_Marketing_Airline	Flight_Number_Marketing_Airline	Originally_Scheduled_Code_Share_Airline	DOT_ID_Originally_Scheduled_Code_Share_Airline	IATA_Code_Originally_Scheduled_Code_Share_Airline	Flight_Num_Originally_Scheduled_Code_Share_Airline	Operating_Airline 	DOT_ID_Operating_Airline	IATA_Code_Operating_Airline	Tail_Number	Flight_Number_Operating_Airline	OriginAirportID	OriginAirportSeqID	OriginCityMarketID	Origin	OriginCityName	OriginState	OriginStateFips	OriginStateName	OriginWac	DestAirportID	DestAirportSeqID	DestCityMarketID	Dest	DestCityName	DestState	DestStateFips	DestStateName	DestWac	CRSDepTime	DepTime	DepDelay	DepDelayMinutes	DepDel15	DepartureDelayGroups	DepTimeBlk	TaxiOut	WheelsOff	WheelsOn	TaxiIn	CRSArrTime	ArrTime	ArrDelay	ArrDelayMinutes	ArrDel15	ArrivalDelayGroups	ArrTimeBlk	Cancelled	CancellationCode	Diverted	CRSElapsedTime	ActualElapsedTime	AirTime	Flights	Distance	DistanceGroup	CarrierDelay	WeatherDelay	NASDelay	SecurityDelay	LateAircraftDelay	FirstDepTime	TotalAddGTime	LongestAddGTime	DivAirportLandings
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1581					DL	19790	DL	N315DN	1581	11697	1169706	32467	FLL	Fort Lauderdale, FL	FL	12	Florida	33	12953	1295304	31703	LGA	New York, NY	NY	36	New York	22	1126						1100-1159					1419						1400-1459	1	A	0	173			1	1076	5									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1582					DL	19790	DL	N545US	1582	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	11697	1169706	32467	FLL	Fort Lauderdale, FL	FL	12	Florida	33	1631	1627	-4	0	0	-1	1600-1659	15	1642	1815	5	1821	1820	-1	0	0	-1	1800-1859	0		0	110	113	93	1	581	3									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1582					DL	19790	DL	N545US	1582	11697	1169706	32467	FLL	Fort Lauderdale, FL	FL	12	Florida	33	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	1931	1929	-2	0	0	-1	1900-1959	13	1942	2105	10	2127	2115	-12	0	0	-1	2100-2159	0		0	116	106	83	1	581	3									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1583					DL	19790	DL	N345NB	1583	11697	1169706	32467	FLL	Fort Lauderdale, FL	FL	12	Florida	33	14492	1449202	34492	RDU	Raleigh/Durham, NC	NC	37	North Carolina	36	1024	1019	-5	0	0	-1	1000-1059	17	1036	1209	3	1227	1212	-15	0	0	-1	1200-1259	0		0	123	113	93	1	680	3									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1584					DL	19790	DL	N978AT	1584	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	12448	1244807	32448	JAN	Jackson/Vicksburg, MS	MS	28	Mississippi	53	1117	1113	-4	0	0	-1	1100-1159	14	1127	1127	4	1142	1131	-11	0	0	-1	1100-1159	0		0	85	78	60	1	341	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1584					DL	19790	DL	N978AT	1584	12448	1244807	32448	JAN	Jackson/Vicksburg, MS	MS	28	Mississippi	53	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	1237	1230	-7	0	0	-1	1200-1259	11	1241	1430	5	1458	1435	-23	0	0	-2	1400-1459	0		0	81	65	49	1	341	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1585					DL	19790	DL	N878DN	1585	14524	1452401	34524	RIC	Richmond, VA	VA	51	Virginia	38	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	900	857	-3	0	0	-1	0900-0959	13	910	1030	8	1050	1038	-12	0	0	-1	1000-1059	0		0	110	101	80	1	481	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1586					DL	19790	DL	N596NW	1586	13487	1348702	31650	MSP	Minneapolis, MN	MN	27	Minnesota	63	14635	1463502	31714	RSW	Fort Myers, FL	FL	12	Florida	33	1000	1018	18	18	1	1	1000-1059	15	1033	1431	4	1433	1435	2	2	0	0	1400-1459	0		0	213	197	178	1	1416	6									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1587					DL	19790	DL	N872DN	1587	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	14492	1449202	34492	RDU	Raleigh/Durham, NC	NC	37	North Carolina	36	1414	1422	8	8	0	0	1400-1459	11	1433	1528	3	1533	1531	-2	0	0	-1	1500-1559	0		0	79	69	55	1	356	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1587					DL	19790	DL	N872DN	1587	14492	1449202	34492	RDU	Raleigh/Durham, NC	NC	37	North Carolina	36	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	1643	1640	-3	0	0	-1	1600-1659	12	1652	1759	4	1814	1803	-11	0	0	-1	1800-1859	0		0	91	83	67	1	356	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1588					DL	19790	DL	N814DN	1588	10693	1069302	30693	BNA	Nashville, TN	TN	47	Tennessee	54	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	701	656	-5	0	0	-1	0700-0759	18	714	853	6	910	859	-11	0	0	-1	0900-0959	0		0	69	63	39	1	214	1									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1589					DL	19790	DL	N352DN	1589	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	12339	1233904	32337	IND	Indianapolis, IN	IN	18	Indiana	42	1235	1234	-1	0	0	-1	1200-1259	11	1245	1349	6	1401	1355	-6	0	0	-1	1400-1459	0		0	86	81	64	1	432	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1589					DL	19790	DL	N352DN	1589	12339	1233904	32337	IND	Indianapolis, IN	IN	18	Indiana	42	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	1511	1504	-7	0	0	-1	1500-1559	11	1515	1624	6	1643	1630	-13	0	0	-1	1600-1659	0		0	92	86	69	1	432	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1590					DL	19790	DL	N3769L	1590	12953	1295304	31703	LGA	New York, NY	NY	36	New York	22	11292	1129202	30325	DEN	Denver, CO	CO	8	Colorado	82	1826	1823	-3	0	0	-1	1800-1859	17	1840	2036	11	2112	2047	-25	0	0	-2	2100-2159	0		0	286	264	236	1	1620	7									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1591					DL	19790	DL	N964AT	1591	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	14685	1468502	34685	SAV	Savannah, GA	GA	13	Georgia	34	820	816	-4	0	0	-1	0800-0859	16	832	909	3	922	912	-10	0	0	-1	0900-0959	0		0	62	56	37	1	214	1									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1591					DL	19790	DL	N964AT	1591	14685	1468502	34685	SAV	Savannah, GA	GA	13	Georgia	34	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	1022	1013	-9	0	0	-1	1000-1059	11	1024	1108	7	1132	1115	-17	0	0	-2	1100-1159	0		0	70	62	44	1	214	1									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1592					DL	19790	DL	N934AT	1592	15919	1591904	31834	XNA	Fayetteville, AR	AR	5	Arkansas	71	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	600	557	-3	0	0	-1	0600-0659	12	609	825	5	903	830	-33	0	0	-2	0900-0959	0		0	123	93	76	1	589	3									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1593					DL	19790	DL	N338DN	1593	14683	1468305	33214	SAT	San Antonio, TX	TX	48	Texas	74	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	700	656	-4	0	0	-1	0700-0759	12	708	955	27	1014	1022	8	8	0	0	1000-1059	0		0	134	146	107	1	874	4									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1594					DL	19790	DL	N912DU	1594	15304	1530402	33195	TPA	Tampa, FL	FL	12	Florida	33	11433	1143302	31295	DTW	Detroit, MI	MI	26	Michigan	43	1815	1810	-5	0	0	-1	1800-1859	11	1821	2026	6	2102	2032	-30	0	0	-2	2100-2159	0		0	167	142	125	1	983	4									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1595					DL	19790	DL	N359NB	1595	14869	1486903	34614	SLC	Salt Lake City, UT	UT	49	Utah	87	11292	1129202	30325	DEN	Denver, CO	CO	8	Colorado	82	955	1046	51	51	1	3	0900-0959	14	1100	1156	18	1134	1214	40	40	1	2	1100-1159	0		0	99	88	56	1	391	2	2	0	0	0	38				0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1596					DL	19790	DL	N107DU	1596	14869	1486903	34614	SLC	Salt Lake City, UT	UT	49	Utah	87	11292	1129202	30325	DEN	Denver, CO	CO	8	Colorado	82	2105	2101	-4	0	0	-1	2100-2159	16	2117	2210	24	2238	2234	-4	0	0	-1	2200-2259	0		0	93	93	53	1	391	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1597					DL	19790	DL	N364NW	1597	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	12339	1233904	32337	IND	Indianapolis, IN	IN	18	Indiana	42	2055	2058	3	3	0	0	2000-2059	15	2113	2222	8	2223	2230	7	7	0	0	2200-2259	0		0	88	92	69	1	432	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1598					DL	19790	DL	N345DN	1598	12953	1295304	31703	LGA	New York, NY	NY	36	New York	22	11697	1169706	32467	FLL	Fort Lauderdale, FL	FL	12	Florida	33	1359	1530	91	91	1	6	1300-1359	17	1547	1850	8	1715	1858	103	103	1	6	1700-1759	0		0	196	208	183	1	1076	5	91	0	12	0	0				0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1599					DL	19790	DL	N830DN	1599	10529	1052906	30529	BDL	Hartford, CT	CT	9	Connecticut	11	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	603	600	-3	0	0	-1	0600-0659	17	617	844	13	849	857	8	8	0	0	0800-0859	0		0	166	177	147	1	859	4									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1600					DL	19790	DL	N658DL	1600	12451	1245102	31136	JAX	Jacksonville, FL	FL	12	Florida	33	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	700	654	-6	0	0	-1	0700-0759	13	707	753	4	817	757	-20	0	0	-2	0800-0859	0		0	77	63	46	1	270	2									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1601					DL	19790	DL	N392DA	1601	10721	1072102	30721	BOS	Boston, MA	MA	25	Massachusetts	13	14635	1463502	31714	RSW	Fort Myers, FL	FL	12	Florida	33	1516	1513	-3	0	0	-1	1500-1559	15	1528	1848	5	1857	1853	-4	0	0	-1	1800-1859	0		0	221	220	200	1	1249	5									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1601					DL	19790	DL	N392DA	1601	14635	1463502	31714	RSW	Fort Myers, FL	FL	12	Florida	33	10721	1072102	30721	BOS	Boston, MA	MA	25	Massachusetts	13	1959	1954	-5	0	0	-1	1900-1959	13	2007	2231	5	2305	2236	-29	0	0	-2	2300-2359	0		0	186	162	144	1	1249	5									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1602					DL	19790	DL	N918DU	1602	14747	1474703	30559	SEA	Seattle, WA	WA	53	Washington	93	11433	1143302	31295	DTW	Detroit, MI	MI	26	Michigan	43	2300	2324	24	24	1	1	2300-2359	18	2342	601	9	614	610	-4	0	0	-1	0600-0659	0		0	254	226	199	1	1927	8									0
2022	1	1	6	4	06-01-2022	DL	DL	19790	DL	1603					DL	19790	DL	N927AT	1603	13230	1323002	32070	MDT	Harrisburg, PA	PA	42	Pennsylvania	23	10397	1039707	30397	ATL	Atlanta, GA	GA	13	Georgia	34	605	602	-3	0	0	-1	0600-0659	53	655	846	5	808	851	43	43	1	2	0800-0859	0		0	123	169	111	1	620	3	0	0	43	0	0				0
